OBJECT_NAME,OBJECT_ID,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,COUNTRY_CODE,LAUNCH_DATE,SITE,RCS_SIZE,TLE_LINE1,TLE_LINE2
"BREEZE-M DEB (TANK)","2020-053D","407.699","23312.091","358.048","DEBRIS","CIS","2020-07-30","TTMTR","LARGE","1 45988U 20053D   21272.47154715  .00000289  00000-0  18994-3 0  9995","2 45988  49.5897  84.9631 6301484 345.8508   2.4617  3.53202055 15100"
"FREGAT DEB","2011-037GQ","110.402","2108.277","382.109","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 45989U 11037GQ  20321.97452745  .04159673  00000-0  33971+0 0  9995","2 45989  51.1720 226.9506 1132162  69.6882 302.1896 13.04325113 16445"
"FREGAT DEB","2011-037GR","121.439","2947.691","542.659","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 45990U 11037GR  21271.41268271  .00008486  00000-0  42680-2 0  9991","2 45990  51.5957 159.6665 1480328 295.2352  50.2357 11.85777585 50565"
"FREGAT DEB","2011-037GS","138.341","4322.158","642.633","DEBRIS","CIS","2011-07-18","TTMTR","MEDIUM","1 45991U 11037GS  21025.67213765  .00193790  00000-0  25446+0 0  9996","2 45991  51.6636 271.2007 2076357  12.7907 351.8205 10.40909919 19143"
"FREGAT DEB","2011-037GT","109.048","2014.033","351.429","DEBRIS","CIS","2011-07-18","TTMTR","MEDIUM","1 45992U 11037GT  20329.07414188  .10945611  00000-0  57558+0 0  9996","2 45992  51.1770 218.9467 1099480  76.3422 295.7286 13.20521494 14537"
"FREGAT DEB","2011-037GU","120.313","3010.374","379.374","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 45993U 11037GU  21229.66062507  .00655949  00000-0  70397-1 0  9995","2 45993  51.6094 336.9891 1629504 176.4883 184.9229 11.96877195 44490"
"FREGAT DEB","2011-037GV","131.639","3654.540","733.205","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 45994U 11037GV  21271.39086909 -.00000365  00000-0 -57573-3 0  9996","2 45994  51.5135 346.1455 1703997 149.5284 221.6732 10.93903372 46538"
"FREGAT DEB","2011-037GW","157.893","6077.440","520.017","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 45995U 11037GW  20233.50306730  .00021599  00000-0  16156-1 0  9994","2 45995  51.0311 276.3533 2871500 115.0590 277.4075  9.12012597  1928"
"FREGAT DEB","2011-037GX","126.597","3274.465","672.717","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 45996U 11037GX  20228.27746932 -.00004695  00000-0 -59297-2 0  9999","2 45996  51.5103 204.4766 1557611 201.1055 151.7966 11.37466024  1920"
"FREGAT DEB","2011-037GY","117.834","2846.577","320.600","DEBRIS","CIS","2011-07-18","TTMTR","MEDIUM","1 45997U 11037GY  20330.04773094  .03821142  00000-0  17632+0 0  9997","2 45997  51.8212 274.4738 1586326  36.7728 333.2053 12.22058869 13831"
"FREGAT DEB","2011-037GZ","126.865","3147.924","822.832","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 45998U 11037GZ  20230.30576996 -.00037900  00000-0 -10361+0 0  9990","2 45998  51.3253 200.9526 1390021 180.3713 179.6152 11.35062254  2720"
"FREGAT DEB","2011-037HA","143.280","4637.268","746.851","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 45999U 11037HA  21270.69827142  .00000196  00000-0  65312-3 0  9995","2 45999  51.4569 164.8879 2144616  11.4519 352.7993 10.05027301 42773"
"FREGAT DEB","2011-037HD","142.043","4717.201","562.353","DEBRIS","CIS","2011-07-18","TTMTR","MEDIUM","1 46002U 11037HD  21272.12666492  .00077583  00000-0  64221-1 0  9990","2 46002  51.2055 171.8457 2303664  31.7229 340.3698 10.13780092 42889"
"FREGAT DEB","2011-037HE","126.730","3376.105","582.782","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46003U 11037HE  20233.22580998 -.00054343  00000-0 -40223-1 0  9991","2 46003  51.6011 192.5207 1671132 188.6843 168.1274 11.36271350  2486"
"FREGAT DEB","2011-037HF","142.451","4414.675","899.447","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46004U 11037HF  20315.76903054  .00044702  00000-0  22849+0 0  9992","2 46004  51.2215  84.8074 1945297 251.9987  86.0186 10.10872583 10455"
"FREGAT DEB","2011-037HG","100.090","1274.292","251.256","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46005U 11037HG  21272.02803316  .00525166  46778-4  47011-2 0  9990","2 46005  51.2275 209.7573 0716321 204.5660 151.9521 14.38707536 55744"
"FREGAT DEB","2011-037HH","126.393","3593.805","335.369","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46006U 11037HH  21271.51809029  .00005788  00000-0  42957-3 0  9993","2 46006  51.4481 206.9136 1952861 275.9639  62.3301 11.39307902 48485"
"FREGAT DEB","2011-037HJ","141.686","4415.962","833.354","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46007U 11037HJ  21080.69514157 -.00050679  00000-0 -19342+0 0  9995","2 46007  50.9375 203.2360 1989720 107.7298 274.9274 10.16334945 23178"
"FREGAT DEB","2011-037HK","127.927","3481.088","582.919","DEBRIS","","","","","1 46008U 11037HK  20216.45839589  .00013573  00000-0  10322-1 0  9990","2 46008  51.3400 235.4565 1723021 164.0843 202.2508 11.25636107   589"
"FREGAT DEB","2011-037HL","116.004","2628.565","373.299","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46009U 11037HL  21262.92473551  .00103130  00000-0  96118-2 0  9995","2 46009  51.4896 198.8294 1431176 278.1758  65.9717 12.41339488 48545"
"FREGAT DEB","2011-037HM","150.738","4763.421","1244.909","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46010U 11037HM  21253.60762050  .00013927  00000-0  26595+0 0  9990","2 46010  51.5715 321.7268 1875080 238.1418 102.3290  9.55297828 38971"
"FREGAT DEB","2011-037HN","122.039","3071.832","471.982","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46011U 11037HN  20240.77945967  .00345270  00000-0  97243-1 0  9993","2 46011  51.3863 158.2821 1594992 198.8284 154.6375 11.79948276  3486"
"FREGAT DEB","2011-037HP","119.311","2614.009","685.979","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46012U 11037HP  20237.12524857 -.00038233  00000-0 -44255-1 0  9995","2 46012  51.3841 146.2903 1200797 241.4485 106.0401 12.06927699  3125"
"FREGAT DEB","2011-037HQ","137.740","4386.388","527.098","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46013U 11037HQ  21272.40246063  .00355720  00000-0  20843+0 0  9993","2 46013  51.1066 149.8191 2184122  55.8112 323.0893 10.45446838 43312"
"FREGAT DEB","2011-037HS","128.028","3623.940","448.879","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46015U 11037HS  21270.63475503  .00003156  00000-0  85670-3 0  9997","2 46015  51.4120 253.7886 1886650 238.5893 101.6870 11.24752176 48452"
"FREGAT DEB","2011-037HT","127.015","3296.351","687.573","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46016U 11037HT  20241.18235246  .00019119  00000-0  26933-1 0  9994","2 46016  51.4149 170.9957 1558392 205.5645 145.9392 11.33723203  3383"
"FREGAT DEB","2011-037HU","117.882","2808.951","362.534","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46017U 11037HU  21270.54058765  .00125545  00000-0  10758-1 0  9996","2 46017  51.3495  99.3486 1535946   2.8101 358.0271 12.21563085 51297"
